epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7218.82,0.66243,0.8038,1.34266,0.88333,0.80769,0.86124,0.67565,1.00052,0.97251,1.72563,0.000990365,0.000990365,0.000990365
43,7370.02,0.62035,0.75624,1.29596,0.87874,0.78923,0.88882,0.64358,1.09316,1.10061,1.84133,0.000973861,0.000973861,0.000973861
44,7517.25,0.67696,0.83602,1.35557,0.83865,0.83385,0.90208,0.64045,1.13841,1.08274,1.83057,0.000957358,0.000957358,0.000957358
45,7664.4,0.68252,0.78859,1.3502,0.88067,0.87231,0.90406,0.65112,1.05528,1.00052,1.73428,0.000940855,0.000940855,0.000940855
46,7816.45,0.60206,0.73272,1.29828,0.85341,0.79233,0.8605,0.66094,1.03146,1.05776,1.77785,0.000924352,0.000924352,0.000924352
47,7965.52,0.67703,0.8026,1.34877,0.89283,0.74723,0.84591,0.65708,0.97729,1.07504,1.66738,0.000907848,0.000907848,0.000907848
48,8113.88,0.63468,0.77912,1.31422,0.86173,0.76968,0.8578,0.66649,0.98489,1.0462,1.66912,0.000891345,0.000891345,0.000891345
49,8266.4,0.62098,0.75399,1.30432,0.83371,0.83405,0.84813,0.61017,1.08238,1.09827,1.72437,0.000874842,0.000874842,0.000874842
50,8427.28,0.6184,0.73606,1.29099,0.85725,0.8351,0.86925,0.62984,1.07845,1.0161,1.707,0.000858338,0.000858338,0.000858338
51,8605.99,0.63729,0.73894,1.30545,0.85789,0.87231,0.89948,0.65411,1.10227,1.03033,1.7249,0.000841835,0.000841835,0.000841835
52,8747.83,0.62862,0.71905,1.30005,0.82341,0.8769,0.88873,0.63953,1.13112,1.11667,1.70266,0.000825332,0.000825332,0.000825332
53,8884.81,0.63852,0.73929,1.32438,0.84244,0.77313,0.8388,0.64904,1.08339,1.10798,1.64796,0.000808828,0.000808828,0.000808828
54,9021.41,0.60224,0.75488,1.28829,0.91507,0.78769,0.88417,0.65635,0.97788,1.04239,1.60533,0.000792325,0.000792325,0.000792325
55,9161.61,0.65566,0.79691,1.33271,0.84498,0.70946,0.81623,0.6142,0.95327,1.25429,1.54743,0.000775822,0.000775822,0.000775822
56,9296.94,0.58656,0.72798,1.27448,0.8364,0.65691,0.75507,0.57059,1.01348,1.2612,1.64316,0.000759318,0.000759318,0.000759318
57,9433.18,0.65364,0.75273,1.31625,0.88044,0.66615,0.82444,0.61304,1.06141,1.17998,1.6346,0.000742815,0.000742815,0.000742815
58,9579.99,0.59275,0.67408,1.26691,0.71925,0.78664,0.81972,0.59647,0.9637,1.175,1.55585,0.000726312,0.000726312,0.000726312
59,9720.59,0.57786,0.6861,1.26527,0.88202,0.84,0.87066,0.66597,0.99814,1.00907,1.62818,0.000709809,0.000709809,0.000709809
